RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_REPORTED	EYE_TRACKED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_LAUNCH_X	IA_FIRST_RUN_LAUNCH_Y	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_21	IA_FSA_COUNT_22	IA_FSA_DURATION_21	IA_FSA_DURATION_22	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_LAUNCH_X	IA_LAST_RUN_LAUNCH_Y	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_LAUNCH_X	IA_SECOND_RUN_LAUNCH_Y	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_LAUNCH_X	IA_THIRD_RUN_LAUNCH_Y	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	SAMPLING_RATE	TIME_SCALE	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	DISPLAY_ON_TIME	Drift_Check	RT	Session_Name_	Trial_Index_	Trial_Recycled_	__duration__1	audio_file	bg_code	bg_name	calibration	condition	experiment	frame_rate	participant_id	trial_number	version	video_file
105912	2	105912.edf	RIGHT	Binocular	video_file	237500.00	1238.82	662	7109	0.2773	false	.	223	1	.	.	1	176	0	965.30	559.70	1	223	398	0.0137	1	332.30	.	.	.	176	.	.	.	.	.	0.3014	22	14	1	4543	657	.	21	.	IA_gravity_ver2_gap	204	8	23957	1401.80	511.20	204	24160	0.0137	1	768.80	-1167.50	1800.50	71.20	23957	10.00	-130.62	23956	54	23906	633	1	1	1441.00	905.00	.	0	0	0	0	0	0	6203	1583	8	470	2	1463	1057.10	457.30	3044	5090	0.0959	7	424.10	-403.90	1036.90	253.80	1463	6203	0	657	.	123	2	1953	1044.60	572.20	367	6759	0.0411	3	288.30	-71.30	704.30	996.70	6332	412	RECTANGLE	[21, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 22, 0, 22, 0, 21, 0, 22, 0, 21, 0]	true	12700643	1	video_ip	true	12670893	Fixations	1000.00	Trial Relative	25632.00	73	2	Trial: 2	12670717	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	2	False	30000	gravity_ver2_n_contX.wav	(5, 5, 5, 255)	black	calibug64.mp4	cont	gravity	24	subj.34	2	ver2	gravity_ver2_n_cont.mp4
105912	2	105912.edf	RIGHT	Binocular	video_file	30017.92	1275.43	637	4687	0.1829	false	.	657	34	21	[21]	12	13413	1	1686.00	530.40	1	1383	14814	0.0274	2	103.00	96.80	1486.20	526.50	13413	2.61	-3.62	13412	33	13388	0.0959	7	0	4	0	3457	.	22	.	IA_gravity_ver2_apple	425	3	22866	1713.70	541.60	714	23290	0.0274	2	77.50	-56.40	1639.40	636.50	22553	1.26	33.54	22865	51	22842	1583	1	1	1454.00	1181.00	.	0	0	0	0	0	0	5593	1793	3	726	1	14089	1727.10	523.60	2590	17942	0.0411	3	142.20	-245.10	1828.10	554.70	15330	4687	0	.	.	284	2	15330	1725.20	517.00	714	23290	0.0274	2	77.50	-56.40	1639.40	636.50	22553	455	ELLIPSE	[21, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 22, 0, 22, 0, 21, 0, 22, 0, 21, 0]	true	12700643	1	video_ip	true	12670893	Fixations	1000.00	Trial Relative	25632.00	73	2	Trial: 2	12670717	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	2	False	30000	gravity_ver2_n_contX.wav	(5, 5, 5, 255)	black	calibug64.mp4	cont	gravity	24	subj.34	2	ver2	gravity_ver2_n_cont.mp4
105912	3	105912.edf	RIGHT	Binocular	video_file	81000.00	1641.87	820	13701	0.4525	false	.	409	1	.	.	1	353	0	960.90	557.30	1	583	954	0.0278	2	140.90	.	.	.	353	.	.	.	.	.	0.4306	31	14	3	8376	953	.	21	.	IA_continuity_ver2_gap	891	17	33245	855.40	792.60	2982	34136	0.0556	4	76.50	-51.70	871.70	236.40	31087	1.25	-101.91	33244	71	33218	820	1	1	1826.00	1172.00	.	1	1	0	0	0	0	583	1090	17	174	1	781	926.90	553.70	277	3818	0.0139	1	201.00	-399.30	1219.30	119.10	3542	583	0	233	.	277	2	3542	1021.00	673.00	246	5229	0.0139	1	98.00	-291.10	1111.10	764.30	4984	520	RECTANGLE	[21, 22, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 22, 0, 22, 0, 21, 0, 21, 0, 22, 21, 22, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21]	true	12736876	1	video_ip	true	12703093	Fixations	1000.00	Trial Relative	30280.00	72	2	Trial: 3	12702740	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	3	False	34000	continuity_ver2_n_testX.wav	(5, 5, 5, 255)	black	calibug64.mp4	test	continuity	24	subj.34	3	ver2	continuity_ver2_n_test.mp4
105912	3	105912.edf	RIGHT	Binocular	video_file	26719.25	1497.00	770	2614	0.0863	false	.	233	3	21	[21]	2	1006	1	1640.60	602.20	1	233	1238	0.0139	1	59.60	654.10	926.90	553.70	1006	12.56	-3.45	1005	2	955	0.0694	5	1	0	192	0	.	22	.	IA_continuity_ver2_apple	173	5	19268	1649.80	675.10	173	19440	0.0139	1	68.80	526.10	1054.90	655.70	19268	10.04	-1.99	19267	45	19210	1581	1	1	1687.00	1273.00	.	0	0	1	1	1	1	15732	1770	5	547	2	14038	1671.20	659.90	547	14584	0.0139	1	90.20	523.20	1057.80	687.40	14038	2614	0	.	.	1063	3	14979	1627.80	673.80	1063	16041	0.0139	1	46.80	19.70	1561.30	689.30	14979	590	ELLIPSE	[21, 22, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 22, 0, 22, 0, 21, 0, 21, 0, 22, 21, 22, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21, 0, 21]	true	12736876	1	video_ip	true	12703093	Fixations	1000.00	Trial Relative	30280.00	72	2	Trial: 3	12702740	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	3	False	34000	continuity_ver2_n_testX.wav	(5, 5, 5, 255)	black	calibug64.mp4	test	continuity	24	subj.34	3	ver2	continuity_ver2_n_test.mp4
105912	4	105912.edf	RIGHT	Binocular	video_file	118800.00	1374.65	780	8416	0.2682	false	.	22	1	.	.	1	337	0	910.00	501.10	1	364	722	0.0286	2	0.00	.	.	.	337	.	.	.	.	.	0.2857	20	14	0	5453	0	.	21	.	IA_solidity_ver2_obstacle	358	6	21735	915.00	696.60	524	22092	0.0286	2	38.60	27.70	882.30	664.20	21379	1.43	125.52	21734	42	21545	910	1	1	1550.00	862.00	.	1	1	0	0	0	0	6813	1130	6	342	1	381	957.40	551.30	5112	10984	0.1714	12	201.20	-374.60	1284.60	227.80	5249	6813	0	600	.	912	2	5249	1111.20	612.60	1337	17084	0.0143	1	76.00	300.60	609.40	593.30	15748	240	RECTANGLE	[21, 0, 21, 0, 21, 0, 22, 21, 0, 21, 0, 21, 0, 22, 0, 22]	true	12773892	1	video_ip	true	12739109	Fixations	1000.00	Trial Relative	31382.00	70	2	Trial: 4	12738772	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	4	False	35000	solidity_ver2_n_contX.wav	(5, 5, 5, 255)	black	calibug64.mp4	cont	solidity	24	subj.34	4	ver2	solidity_ver2_n_cont.mp4
105912	4	105912.edf	RIGHT	Binocular	video_file	37934.73	1295.00	785	6401	0.2040	false	.	600	34	.	[21]	7	17696	1	1651.90	673.10	1	740	18566	0.0286	2	51.90	58.80	1541.20	650.90	17696	1.17	-14.68	17695	33	17671	0.2143	15	1	12	165	4687	.	22	.	IA_solidity_ver2_apple	214	3	34906	1778.50	626.10	3629	35120	0.1143	8	146.60	-126.10	1726.10	468.00	31339	0.66	63.16	34905	69	34869	1600	1	0	1411.00	1155.00	.	0	0	1	1	1	1	8004	1830	3	140	1	18427	1776.70	685.90	2032	25274	0.0714	5	113.00	891.20	708.80	713.00	23126	6401	0	.	.	319	2	23126	1713.00	581.40	3629	35120	0.1143	8	146.60	-126.10	1726.10	468.00	31339	575	ELLIPSE	[21, 0, 21, 0, 21, 0, 22, 21, 0, 21, 0, 21, 0, 22, 0, 22]	true	12773892	1	video_ip	true	12739109	Fixations	1000.00	Trial Relative	31382.00	70	2	Trial: 4	12738772	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	4	False	35000	solidity_ver2_n_contX.wav	(5, 5, 5, 255)	black	calibug64.mp4	cont	solidity	24	subj.34	4	ver2	solidity_ver2_n_cont.mp4
105912	5	105912.edf	RIGHT	Binocular	video_file	237500.00	1222.21	662	14555	0.5402	false	.	642	1	.	.	1	1175	0	977.20	542.90	1	1633	2884	0.0556	3	344.20	.	.	.	1175	.	.	.	.	.	0.5370	29	18	4	8077	1968	.	21	.	IA_gravity_ver2_gap	59	11	30866	840.10	495.00	255	30925	0.0370	2	754.40	-1064.90	1697.90	575.30	30616	9.08	178.73	30865	53	30812	633	1	1	1391.00	849.00	.	1	3	0	0	0	0	2900	1583	11	306	1	1853	764.60	654.20	272	3655	0.0185	1	404.80	0.60	632.40	493.90	3384	2900	0	208	.	685	1	2200	960.50	420.60	995	7803	0.0185	1	60.90	-473.50	1106.50	920.70	6809	412	RECTANGLE	[21, 0, 21, 0, 21, 0, 22, 0, 21, 0, 21, 0, 21, 22, 21, 22, 21, 22, 0, 22, 0, 21, 0, 21, 22, 21]	true	12806742	1	video_ip	true	12776992	Fixations	1000.00	Trial Relative	26945.00	54	2	Trial: 5	12775817	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	5	False	30000	gravity_ver2_n_testX.wav	(5, 5, 5, 255)	black	calibug64.mp4	test	gravity	24	subj.34	5	ver2	gravity_ver2_n_test.mp4
105912	5	105912.edf	RIGHT	Binocular	video_file	30017.92	1172.78	637	3732	0.1385	false	.	208	10	.	[21]	7	8544	1	1684.70	630.00	1	208	8751	0.0185	1	101.70	431.30	1151.70	894.80	8544	10.62	26.50	8543	9	8303	0.1667	9	3	3	1440	1041	.	22	.	IA_gravity_ver2_apple	490	6	30088	1697.90	575.30	490	30577	0.0185	1	114.90	144.50	1438.50	626.40	30088	4.35	9.20	30087	51	30059	1583	1	0	1299.00	1023.00	.	0	0	1	3	1	3	15387	1793	6	499	2	15523	1692.40	591.00	499	16021	0.0185	1	109.40	21.40	1561.60	610.70	15523	3732	0	.	.	766	3	17235	1750.10	604.10	766	18000	0.0185	1	167.10	157.20	1425.80	638.20	17235	455	ELLIPSE	[21, 0, 21, 0, 21, 0, 22, 0, 21, 0, 21, 0, 21, 22, 21, 22, 21, 22, 0, 22, 0, 21, 0, 21, 22, 21]	true	12806742	1	video_ip	true	12776992	Fixations	1000.00	Trial Relative	26945.00	54	2	Trial: 5	12775817	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	5	False	30000	gravity_ver2_n_testX.wav	(5, 5, 5, 255)	black	calibug64.mp4	test	gravity	24	subj.34	5	ver2	gravity_ver2_n_test.mp4
105912	6	105912.edf	RIGHT	Binocular	video_file	118800.00	1248.41	780	9163	0.3065	false	.	436	2	.	.	2	408	0	961.30	539.80	1	436	843	0.0139	1	51.30	39.10	870.90	651.70	408	2.58	56.75	407	1	378	0.3056	22	13	5	5609	2039	.	21	.	IA_solidity_ver2_obstacle	314	9	25129	1000.90	635.00	823	25442	0.0417	3	148.10	-747.40	1657.40	622.00	24547	5.51	-102.22	25128	54	25088	910	1	1	1431.00	853.00	.	1	2	0	0	0	0	436	1130	9	410	2	5440	1081.90	434.30	1407	6908	0.0417	3	171.90	-347.70	1257.70	482.40	5440	436	0	181	.	772	2	5895	1043.40	694.80	2055	10320	0.0694	5	117.00	-750.70	1660.70	769.00	7754	240	RECTANGLE	[0, 21, 0, 22, 0, 21, 22, 21, 0, 21, 0, 21, 0, 21, 22, 0, 21, 22, 0, 21, 22, 21, 22, 0, 22, 0, 22, 0, 22, 0, 22, 0, 22]	true	12843992	1	video_ip	true	12809208	Fixations	1000.00	Trial Relative	29895.00	72	2	Trial: 6	12808844	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	6	False	35000	solidity_ver2_n_testX.wav	(5, 5, 5, 255)	black	calibug64.mp4	test	solidity	24	subj.34	6	ver2	solidity_ver2_n_test.mp4
105912	6	105912.edf	RIGHT	Binocular	video_file	37934.73	1190.64	785	9924	0.3320	false	.	181	7	.	[21]	4	2192	1	1652.80	746.30	1	181	2372	0.0139	1	52.80	-201.20	1801.20	518.40	2192	4.77	-116.57	2191	6	2152	0.3056	22	2	11	953	5631	.	22	.	IA_solidity_ver2_apple	247	11	34726	1687.00	658.80	247	34972	0.0139	1	87.00	-49.20	1649.20	378.10	34726	5.02	-86.03	34725	71	34693	1600	1	0	1409.00	1003.00	.	0	0	1	2	1	2	18651	1830	11	741	2	6957	1660.70	769.00	741	7697	0.0139	1	60.70	546.50	1053.50	775.40	6957	9924	0	.	.	405	3	18073	1672.00	693.90	1922	20576	0.0833	6	72.00	581.60	1018.40	675.80	18073	575	ELLIPSE	[0, 21, 0, 22, 0, 21, 22, 21, 0, 21, 0, 21, 0, 21, 22, 0, 21, 22, 0, 21, 22, 21, 22, 0, 22, 0, 22, 0, 22, 0, 22, 0, 22]	true	12843992	1	video_ip	true	12809208	Fixations	1000.00	Trial Relative	29895.00	72	2	Trial: 6	12808844	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512,384)	.	0	0	0	105912	6	False	35000	solidity_ver2_n_testX.wav	(5, 5, 5, 255)	black	calibug64.mp4	test	solidity	24	subj.34	6	ver2	solidity_ver2_n_test.mp4
